"REF_DATE","GEO","DGUID","Statistic","Household expenditures, summary-level categories","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Canada","2016A000011124","Average expenditure per household","Household furnishings and equipment","Dollars","81","units","0","v54325521","1.1.14","2300","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Household furnishings and equipment","Dollars","81","units","0","v54325521","1.1.14","2271","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Household furnishings and equipment","Dollars","81","units","0","v54325521","1.1.14","2486","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Household furnishings","Dollars","81","units","0","v54325522","1.1.15","896","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Household furnishings","Dollars","81","units","0","v54325522","1.1.15","861","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Household furnishings","Dollars","81","units","0","v54325522","1.1.15","978","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Household furnishings","Dollars","81","units","0","v54325522","1.1.15","854","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Household furnishings","Dollars","81","units","0","v54325522","1.1.15","925","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Household furnishings","Dollars","81","units","0","v54325522","1.1.15","947","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Household furnishings","Dollars","81","units","0","v54325522","1.1.15","935","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Household furnishings","Dollars","81","units","0","v54325522","1.1.15","973","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Household furnishings","Dollars","81","units","0","v54325522","1.1.15","1124","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Household equipment","Dollars","81","units","0","v54325523","1.1.16","944","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","Household equipment","Dollars","81","units","0","v54325523","1.1.16","1039","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","Household equipment","Dollars","81","units","0","v54325523","1.1.16","1055","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","Household equipment","Dollars","81","units","0","v54325523","1.1.16","986","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","Household equipment","Dollars","81","units","0","v54325523","1.1.16","1015","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","Household equipment","Dollars","81","units","0","v54325523","1.1.16","1088","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","Household equipment","Dollars","81","units","0","v54325523","1.1.16","1218","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","Household equipment","Dollars","81","units","0","v54325523","1.1.16","1140","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","Household equipment","Dollars","81","units","0","v54325523","1.1.16","1218","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","Household appliances","Dollars","81","units","0","v54325524","1.1.17","415","","","","0"
